time,position/setpoint,position/feedback
1777045629.699213,4.0,0.0
1777045629.7040732,4.0,0.0003472222222222222
1777045629.7087293,4.0,0.0010413532021604937
1777045629.713128,4.0,0.0020820315982742433
1777045629.71779,4.0,0.0034688483823086262
1777045629.7221515,4.0,0.0052013470557533735
1777045629.7264626,4.0,0.0072790238921951085
1777045629.731076,4.0,0.009701328205288027
1777045629.7354906,4.0,0.012467662642038545
1777045629.7400138,4.0,0.015577383501070803
1777045629.7447727,4.0,0.01902980107551187
1777045629.749206,4.0,0.02282418002010813
1777045629.7536085,4.0,0.02695973974215774
1777045629.757973,4.0,0.031435654815818274
1777045629.7623587,4.0,0.03625105541932365
1777045629.7669766,4.0,0.04140502779462055
1777045629.7716787,4.0,0.046896614728911185
1777045629.7762835,4.0,0.05272481605756743
1777045629.781239,4.0,0.058888589187859885
1777045629.78579,4.0,0.06538684964292564
1777045629.7902224,4.0,0.07221847162537935
1777045629.7947688,4.0,0.07938228859995435
1777045629.7991219,4.0,0.0868770938945437
1777045629.8034542,4.0,0.09470164131899571
1777045629.8077152,4.0,0.10285464580100338
1777045629.811989,4.0,0.11133478403841489
1777045629.8163106,4.0,0.12014069516727897
1777045629.8206139,4.0,0.12927098144492935
1777045629.8249145,4.0,0.13872420894740153
1777045629.829171,4.0,0.14849890828046786
1777045629.8334458,4.0,0.15859357530356846
1777045629.8377252,4.0,0.1690066718659106
1777045629.8420033,4.0,0.179736626554003
1777045629.846304,4.0,0.19078183544988916
1777045629.8506174,4.0,0.20214066289934024
1777045629.8548973,4.0,0.21381144228926705
1777045629.859158,4.0,0.22579247683361078
1777045629.8634698,4.0,0.23808204036697259
1777045629.86779,4.0,0.250678378145244
1777045629.8720877,4.0,0.26357970765250427
1777045629.8763785,4.0,0.27678421941345305
1777045629.8806624,4.0,0.29029007781065425
1777045629.8849502,4.0,0.30409542190587097
1777045629.8892262,4.0,0.31819836626477976
1777045629.8935063,4.0,0.33259700178436025
1777045629.8977866,4.0,0.3472893965222648
1777045629.9020867,4.0,0.36227359652748314
1777045629.9063573,4.0,0.3775476266716267
1777045629.9108198,4.0,0.3931094914801702
1777045629.9152238,4.0,0.4089571759629983
1777045629.9198365,4.0,0.42508864644361943
1777045629.924364,4.0,0.4415018513864222
1777045629.9288833,4.0,0.4581947222213626
1777045629.9332066,4.0,0.47516517416548704
1777045629.937781,4.0,0.4924111070407094
1777045629.942074,4.0,0.5099304060872772
1777045629.946568,4.0,0.5277209427723786
1777045629.9508638,4.0,0.5457805755933558
1777045629.9551787,4.0,0.5641071508750121
1777045629.9597967,4.0,0.5826985035605117
1777045629.964098,4.0,0.6015524579953936
1777045629.9684405,4.0,0.6206668287042354
1777045629.9730055,4.0,0.6400394211595231
1777045629.9773388,4.0,0.6596680325422992
1777045629.9819553,4.0,0.679550452494182
1777045629.9862652,4.0,0.6996844638603652
1777045629.9907758,4.0,0.7200678434232267
1777045629.995234,4.0,0.740698362626194
1777045629.999753,4.0,0.761573788287531
1777045630.0040948,4.0,0.7826918833037306
1777045630.008357,4.0,0.8040504073422163
1777045630.0126376,4.0,0.8256471175230717
1777045630.0169287,4.0,0.8474797690895381
1777045630.021245,4.0,0.8695461160670368
1777045630.0255568,4.0,0.8918439119104902
1777045630.0298424,4.0,0.9143709101397343
1777045630.0341594,4.0,0.9371248649628321
1777045630.0384963,4.0,0.9601035318871146
1777045630.042788,4.0,0.9833046683177924
1777045630.0470965,4.0,1.0067260341439985
