time,position/setpoint,position/feedback
0.000244140625,4.0,0.0
0.004731178283691406,4.0,0.0003472222222222222
0.009149789810180664,4.0,0.0010413532021604937
0.01357579231262207,4.0,0.0020820315982742433
0.01813030242919922,4.0,0.0034688483823086262
0.02252030372619629,4.0,0.0052013470557533735
0.027144670486450195,4.0,0.0072790238921951085
0.03161954879760742,4.0,0.009701328205288027
0.03618955612182617,4.0,0.012467662642038545
0.040578603744506836,4.0,0.015577383501070803
0.04520273208618164,4.0,0.01902980107551187
0.04965472221374512,4.0,0.02282418002010813
0.054228782653808594,4.0,0.02695973974215774
0.058622121810913086,4.0,0.031435654815818274
0.06331038475036621,4.0,0.03625105541932365
0.06777381896972656,4.0,0.04140502779462055
0.07244110107421875,4.0,0.046896614728911185
0.07688403129577637,4.0,0.05272481605756743
0.08165144920349121,4.0,0.058888589187859885
0.08625173568725586,4.0,0.06538684964292564
0.09098935127258301,4.0,0.07221847162537935
0.0956873893737793,4.0,0.07938228859995435
0.10032343864440918,4.0,0.0868770938945437
0.10487985610961914,4.0,0.09470164131899571
0.10963678359985352,4.0,0.10285464580100338
0.11424493789672852,4.0,0.11133478403841489
0.11863422393798828,4.0,0.12014069516727897
0.12329888343811035,4.0,0.12927098144492935
0.12769508361816406,4.0,0.13872420894740153
0.132340669631958,4.0,0.14849890828046786
0.13688373565673828,4.0,0.15859357530356846
0.14152193069458008,4.0,0.1690066718659106
0.14625906944274902,4.0,0.179736626554003
0.15086030960083008,4.0,0.19078183544988916
0.15551424026489258,4.0,0.20214066289934024
0.16024017333984375,4.0,0.21381144228926705
0.16463255882263184,4.0,0.22579247683361078
0.16919565200805664,4.0,0.23808204036697259
0.17392730712890625,4.0,0.250678378145244
0.178663969039917,4.0,0.26357970765250427
0.18330740928649902,4.0,0.27678421941345305
0.18771982192993164,4.0,0.29029007781065425
0.19248080253601074,4.0,0.30409542190587097
0.19695353507995605,4.0,0.31819836626477976
0.20140719413757324,4.0,0.33259700178436025
0.20587158203125,4.0,0.3472893965222648
0.21037006378173828,4.0,0.36227359652748314
0.21485066413879395,4.0,0.3775476266716267
0.2193739414215088,4.0,0.3931094914801702
0.2238314151763916,4.0,0.4089571759629983
0.22830796241760254,4.0,0.42508864644361943
0.23276734352111816,4.0,0.4415018513864222
0.2372429370880127,4.0,0.4581947222213626
0.24165105819702148,4.0,0.47516517416548704
0.24611592292785645,4.0,0.4924111070407094
0.25051021575927734,4.0,0.5099304060872772
0.2550048828125,4.0,0.5277209427723786
0.25948619842529297,4.0,0.5457805755933558
0.26397013664245605,4.0,0.5641071508750121
0.26847338676452637,4.0,0.5826985035605117
0.2729623317718506,4.0,0.6015524579953936
0.27739810943603516,4.0,0.6206668287042354
0.2818307876586914,4.0,0.6400394211595231
0.28625941276550293,4.0,0.6596680325422992
0.2907097339630127,4.0,0.679550452494182
0.295224666595459,4.0,0.6996844638603652
0.29962801933288574,4.0,0.7200678434232267
0.30409884452819824,4.0,0.740698362626194
0.30851244926452637,4.0,0.761573788287531
0.3130073547363281,4.0,0.7826918833037306
0.31746578216552734,4.0,0.8040504073422163
0.3219795227050781,4.0,0.8256471175230717
0.3264641761779785,4.0,0.8474797690895381
0.33099889755249023,4.0,0.8695461160670368
0.3354167938232422,4.0,0.8918439119104902
0.3399081230163574,4.0,0.9143709101397343
0.34439563751220703,4.0,0.9371248649628321
